STU_ID,X1RACE,X1SEX,X1SES,X1SCIEFF,N1COURSE,X1SCIID,X1SCIUTI,X1SCIINT,S1TEFRNDS,S1TEACTIV,S1TEPOPULAR,S1TEMAKEFUN,X1CONTROL,X1LOCALE,N1SEX,X1TSRACE,X1TSCERT,N1HIDEG,N1SCIJOB,N1ALTCERT,N1SCIYRS912,N1GROUP,N1INTEREST,N1CONCEPTS,N1TERMS,S1STCHVALUES,S1STCHRESPCT,S1STCHFAIR,S1STCHCONF,S1STCHMISTKE,X3TGPAENG,X3TGPAMAT,X3TGPASCI,COURSE_TYPE,ALTCERT,SCIJOB,X1GEN,SCH_CONTROL,N1GEN,SCH_LOCALE
10081,,2.0,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,2.5,2.0,2.5,Other Science,Yes,Yes,Female,Non-public,,City
10082,,1.0,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,1.5,1.0,1.0,Other Science,Yes,Yes,Male,Public,,Suburban
10084,8.0,1.0,0.0884,-0.05,18.0,-0.33,0.1,0.16,3.0,3.0,3.0,3.0,1,4,1.0,8.0,1.0,4.0,1.0,0.0,9.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,3.5,4.0,Other Science,No,Yes,Male,Public,Male,Rural
10085,8.0,1.0,-0.2902,0.25,,0.91,0.1,0.49,3.0,3.0,3.0,3.0,1,4,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.5,Other Science,Yes,Yes,Male,Public,,Rural
10086,2.0,2.0,-0.0996,-0.05,2.0,0.91,-0.33,0.49,3.0,3.0,4.0,4.0,1,2,2.0,8.0,1.0,4.0,0.0,0.0,14.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,,,,Life Science,No,No,Female,Public,Female,Suburban
10087,6.0,1.0,-0.9782,-0.05,7.0,-0.33,-1.5,0.16,4.0,4.0,4.0,4.0,1,4,2.0,8.0,5.0,4.0,1.0,1.0,2.0,1.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,1.5,2.0,2.0,Physical Science,Yes,Yes,Male,Public,Female,Rural
10088,6.0,2.0,0.3647,,,-0.97,,,3.0,3.0,4.0,4.0,1,3,,,,,,,,,,,,,,,,,3.5,3.0,2.5,Other Science,Yes,Yes,Female,Public,,Town
10089,3.0,1.0,0.9840000000000001,0.25,,2.15,0.1,1.7,3.0,3.0,3.0,3.0,1,4,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.5,2.0,Other Science,Yes,Yes,Male,Public,,Rural
10090,6.0,2.0,-0.0322,1.42,4.0,2.15,1.27,1.64,3.0,4.0,3.0,4.0,1,2,2.0,8.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,2.5,2.5,Earth Science,Yes,Yes,Female,Public,Female,Suburban
10091,5.0,1.0,-0.7627,-0.89,18.0,-0.33,-1.5,-1.82,4.0,4.0,4.0,4.0,1,4,1.0,8.0,5.0,3.0,1.0,0.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.5,2.0,2.5,Other Science,No,Yes,Male,Public,Male,Rural
10092,8.0,1.0,-0.6288,,,-0.33,,,3.0,3.0,3.0,3.0,1,1,,,,,,,,,,,,,,,,,0.25,1.0,0.25,Other Science,Yes,Yes,Male,Public,,City
10093,8.0,1.0,-0.1513,,6.0,-0.33,,,3.0,3.0,3.0,3.0,1,4,2.0,8.0,1.0,4.0,0.0,1.0,10.0,1.0,3.0,4.0,4.0,,,,,,3.5,2.5,3.0,Physical Science,Yes,No,Male,Public,Female,Rural
10094,8.0,1.0,1.7567,-0.48,,0.91,-0.47,0.16,3.0,3.0,3.0,3.0,1,2,1.0,8.0,1.0,4.0,0.0,0.0,8.0,,,,,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.5,Other Science,No,No,Male,Public,Male,Suburban
10095,6.0,2.0,0.122,,,0.31,,,2.0,2.0,3.0,4.0,1,4,,,,,,,,,,,,,,,,,2.5,3.5,3.0,Other Science,Yes,Yes,Female,Public,,Rural
10096,3.0,2.0,-0.3442,0.25,11.0,-0.33,0.1,0.16,3.0,3.0,3.0,3.0,1,1,2.0,8.0,1.0,3.0,0.0,0.0,5.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,Life Science,No,No,Female,Public,Female,City
10097,5.0,2.0,0.9349,1.1,,-0.33,-0.28,0.16,2.0,2.0,4.0,4.0,1,2,,,,,,,,,,,,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,Other Science,Yes,Yes,Female,Public,,Suburban
10099,8.0,2.0,1.4352,1.83,7.0,0.91,0.1,-0.6,3.0,3.0,3.0,3.0,1,2,2.0,8.0,1.0,4.0,0.0,0.0,10.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.5,Physical Science,No,No,Female,Public,Female,Suburban
10100,8.0,2.0,-0.1266,-1.2,,-1.57,-1.88,-0.98,2.0,2.0,1.0,1.0,1,2,,,,,,,,,,,,3.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0,Other Science,Yes,Yes,Female,Public,,Suburban
10101,8.0,2.0,-0.1066,,,-0.97,,,2.0,3.0,3.0,3.0,1,4,,,,,,,,,,,,,,,,,,,0.5,Other Science,Yes,Yes,Female,Public,,Rural
10102,3.0,1.0,0.9312,0.28,,0.27,0.84,0.56,3.0,2.0,3.0,4.0,2,1,,,,,,,,,,,,3.0,4.0,4.0,4.0,3.0,1.5,1.5,2.0,Other Science,Yes,Yes,Male,Non-public,,City
